,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,artist
0,,,,,,0.0,6749.53,,,14341.12,JAKOB STEINHARDT
1,,0.0,8060.54,0.0,0.0,43897.770000000004,,,,5475.7,ANNA TICHO
2,26717.26,126615.0,65949.86,142780.66,,135808.73,,59325.520000000004,15978.11,0.0,LUDWIG BLUM
3,4452.88,1288940.6099999999,1183140.4899999998,1307757.2,2015749.58,1296493.22,1179548.5999999999,1718148.1099999996,1061878.6600000001,451093.42000000004,REUVEN RUBIN
4,,,105226.66,,,176688.53,0.0,0.0,14646.6,89957.94,CHANA ORLOFF
5,,190071.44,27112.72,,128054.8,88481.45000000001,59395.899999999994,,79224.81,230761.67,AVIGDOR ARIKHA
6,,,,439281.4,0.0,334720.5,1293750.71,688176.09,239671.67,1624457.8399999999,MORDECAI ARDON
7,,33515.73,187004.49,28414.059999999998,11135.2,21948.879999999997,35772.53,155055.35,45271.31,76920.55,YOSL BERGNER
8,88463.8,411424.24,976644.1499999999,187532.8,589330.46,76821.1,385533.39999999997,,130487.90000000001,221635.5,YAACOV AGAM
9,,0.0,76794.95,,,0.0,,1887.63,0.0,0.0,MOSHE MOKADY
10,,16385.47,37371.58,75297.27,51500.299999999996,50756.79,27673.079999999998,7415.69,10652.07,29334.11,MOSHE CASTEL
11,,,,,,,,,,0.0,SIMON GLATZER
12,,,,,,,,,14646.6,7822.43,EUGÈNE ZAK
13,,,30776.6,,19625.79,137866.44,48934.659999999996,,5326.04,15644.86,SAMUEL BAK
14,,55859.56,27845.489999999998,0.0,,13032.15,,23595.38,,13037.38,SIGMUND JOSEPH MENKES
15,,67031.47,102588.66999999998,,143087.32,19891.17,,,0.0,53453.259999999995,YOHANAN SIMON
16,,12661.5,,118770.78,19486.6,0.0,99893.11,0.0,18641.13,10429.91,MICHAEL GROSS
17,,94588.85,,58959.19,9743.3,43211.86,16536.89,0.0,,4954.21,MOSHE GERSHUNI
18,,,,,,0.0,,,,4954.21,JAN RAUCHWERGER
19,,,,,,,,,0.0,0.0,PHILIP RANTZER
20,,11916.71,,,,8230.83,,,,0.0,ELIEZER SONNENSCHEIN
21,,,,,,,,,,1825.23,VALERY BOBROV
22,,,,,,,,,,391.12,JOSHUA BORKOVSKY
23,,22343.82,,,0.0,431569.95999999996,0.0,,55923.39,11081.77,ADI NES
24,,,,,,,,,,0.0,HILLA LULU LIN
25,,,,,,5830.72,6749.53,5393.23,,8474.3,TAL SHOCHAT
26,,30089.69,23448.84,7813.87,46628.65,36352.840000000004,25986.239999999998,14292.06,8654.81,8474.3,MOSHE KUPFERMAN
